account_a,account_b,combined_weight,signals
A000639,A011433,13.8,email_alias:13.8
A000639,A011647,13.8,email_alias:13.8
A000649,A003094,15.47,addr:4.03|name:11.44
A000662,A011002,25.24,email_alias:13.8|name:11.44
A000711,A010357,13.8,email_alias:13.8
A000755,A009958,25.24,email_alias:13.8|name:11.44
A000797,A014851,16.47,device:8.4|addr:8.07
A000873,A010312,13.8,email_alias:13.8
A000876,A013415,13.8,email_alias:13.8
A000965,A004762,16.09,email_alias:13.8|name:2.29
A000965,A006604,16.09,email_alias:13.8|name:2.29
A000965,A009112,16.09,email_alias:13.8|name:2.29
A000973,A006366,16.47,device:8.4|addr:8.07
A000977,A003855,16.66,email_alias:13.8|name:2.86
A001007,A003660,8.4,device:8.4
A001007,A006405,8.4,device:8.4
A001081,A013279,13.8,email_alias:13.8
A001206,A014959,8.4,device:8.4
A001219,A009882,13.8,email_alias:13.8
A001256,A006275,13.8,email_alias:13.8
A001256,A009294,13.8,email_alias:13.8
A001285,A005559,13.8,email_alias:13.8
A001290,A012118,25.24,email_alias:13.8|name:11.44
A001308,A002691,13.8,email_alias:13.8
A001308,A002938,13.8,email_alias:13.8
A001308,A007585,13.8,email_alias:13.8
A001308,A007784,13.8,email_alias:13.8
A001308,A008340,13.8,email_alias:13.8
A001308,A009291,13.8,email_alias:13.8
A001308,A011275,13.8,email_alias:13.8
A001308,A012022,13.8,email_alias:13.8
A001324,A010888,25.24,email_alias:13.8|name:11.44
A001339,A001621,16.47,device:8.4|addr:8.07
A001339,A005644,16.47,device:8.4|addr:8.07
A001369,A003579,25.24,email_alias:13.8|name:11.44
A001394,A002118,13.8,email_alias:13.8
A001394,A003871,13.8,email_alias:13.8
A001394,A004992,13.8,email_alias:13.8
A001394,A008904,13.8,email_alias:13.8
A001394,A012395,13.8,email_alias:13.8
A001417,A006605,16.47,device:8.4|addr:8.07
A001417,A009844,13.8,email_alias:13.8
A001417,A013359,13.8,email_alias:13.8
A001417,A013860,16.47,device:8.4|addr:8.07
A001419,A010939,17.61,email_alias:13.8|name:3.81
A001478,A011781,13.8,email_alias:13.8
A001484,A014624,8.4,device:8.4
A001503,A008680,13.8,email_alias:13.8
A001505,A008376,13.8,email_alias:13.8
A001563,A010950,25.24,email_alias:13.8|name:11.44
A001594,A004133,13.8,email_alias:13.8
A001594,A014923,13.8,email_alias:13.8
A001621,A005644,16.47,device:8.4|addr:8.07
A001661,A005620,25.24,email_alias:13.8|name:11.44
A001661,A007178,25.24,email_alias:13.8|name:11.44
A001697,A003576,22.82,email_alias:13.8|phone:9.02
A001697,A004565,13.8,email_alias:13.8
A001697,A005942,13.8,email_alias:13.8
A001697,A009581,22.82,email_alias:13.8|phone:9.02
A001697,A011735,13.8,email_alias:13.8
A001697,A012501,13.8,email_alias:13.8
A001697,A013095,13.8,email_alias:13.8
A001704,A002810,19.52,email_alias:13.8|name:5.72
A001748,A009776,16.47,device:8.4|addr:8.07
A001770,A011354,13.8,email_alias:13.8
A001788,A004997,13.8,email_alias:13.8
A001889,A002114,11.88,addr:8.07|name:3.81
A001967,A014659,17.61,email_alias:13.8|name:3.81
A001968,A011956,13.8,email_alias:13.8
A001984,A011276,25.24,email_alias:13.8|name:11.44
A002000,A003813,13.8,email_alias:13.8
A002022,A010056,13.8,email_alias:13.8
A002022,A013585,13.8,email_alias:13.8
A002036,A013702,13.8,email_alias:13.8
A002118,A003871,13.8,email_alias:13.8
A002118,A004992,13.8,email_alias:13.8
A002118,A008904,13.8,email_alias:13.8
A002118,A012395,13.8,email_alias:13.8
A002138,A003082,13.8,email_alias:13.8
A002193,A008561,25.24,email_alias:13.8|name:11.44
A002246,A004000,13.8,email_alias:13.8
A002265,A004892,13.8,email_alias:13.8
A002300,A004906,13.8,email_alias:13.8
A002347,A005174,25.24,email_alias:13.8|name:11.44
A002397,A010050,25.24,email_alias:13.8|name:11.44
A002445,A003663,13.8,email_alias:13.8
A002445,A013103,13.8,email_alias:13.8
A002451,A012308,13.8,email_alias:13.8
A002459,A006652,13.8,email_alias:13.8
A002473,A003772,14.12,device:8.4|name:5.72
A002519,A007000,13.8,email_alias:13.8
A002519,A013672,13.8,email_alias:13.8
A002519,A014965,13.8,email_alias:13.8
A002531,A011885,13.8,email_alias:13.8
A002545,A007995,13.8,email_alias:13.8
A002566,A013032,16.47,device:8.4|addr:8.07
A002584,A012117,13.8,email_alias:13.8
A002589,A012267,13.8,email_alias:13.8
A002598,A002830,13.8,email_alias:13.8
A002598,A007165,13.8,email_alias:13.8
A002598,A013696,13.8,email_alias:13.8
A002601,A014871,13.8,email_alias:13.8
A002645,A014086,16.47,device:8.4|addr:8.07
A002686,A014139,13.8,email_alias:13.8
A002691,A002938,22.2,email_alias:13.8|device:8.4
A002691,A007585,13.8,email_alias:13.8
A002691,A007784,13.8,email_alias:13.8
A002691,A008340,13.8,email_alias:13.8
A002691,A009291,13.8,email_alias:13.8
A002691,A011275,13.8,email_alias:13.8
A002691,A012022,22.2,email_alias:13.8|device:8.4
A002742,A006936,13.8,email_alias:13.8
A002742,A014821,13.8,email_alias:13.8
A002788,A009795,8.4,device:8.4
A002788,A014589,8.4,device:8.4
A002830,A007165,13.8,email_alias:13.8
A002830,A013696,13.8,email_alias:13.8
A002909,A013026,25.24,email_alias:13.8|name:11.44
A002926,A013996,16.47,device:8.4|addr:8.07
A002938,A007585,13.8,email_alias:13.8
A002938,A007784,13.8,email_alias:13.8
A002938,A008340,13.8,email_alias:13.8
A002938,A009291,13.8,email_alias:13.8
A002938,A011275,13.8,email_alias:13.8
A002938,A012022,22.2,email_alias:13.8|device:8.4
A002999,A003298,9.55,device:8.4|addr:1.15
A002999,A011255,9.55,device:8.4|addr:1.15
A003024,A014011,13.8,email_alias:13.8
A003032,A010717,13.8,email_alias:13.8
A003081,A010394,16.47,device:8.4|addr:8.07
A003098,A010031,25.24,email_alias:13.8|name:11.44
A003101,A006902,13.8,email_alias:13.8
A003111,A014748,16.47,device:8.4|addr:8.07
A003180,A008580,25.24,email_alias:13.8|name:11.44
A003295,A006370,25.24,email_alias:13.8|name:11.44
A003298,A011255,9.55,device:8.4|addr:1.15
A003313,A011252,13.8,email_alias:13.8
A003344,A003457,25.24,email_alias:13.8|name:11.44
A003352,A004694,19.52,email_alias:13.8|name:5.72
A003352,A014866,19.52,email_alias:13.8|name:5.72
A003404,A009232,13.8,email_alias:13.8
A003428,A012382,25.24,email_alias:13.8|name:11.44
A003468,A007729,13.8,email_alias:13.8
A003494,A006633,13.8,email_alias:13.8
A003553,A007577,13.8,email_alias:13.8
A003553,A012312,13.8,email_alias:13.8
A003576,A004565,13.8,email_alias:13.8
A003576,A005942,13.8,email_alias:13.8
A003576,A009581,22.82,email_alias:13.8|phone:9.02
A003576,A011735,13.8,email_alias:13.8
A003576,A012501,13.8,email_alias:13.8
A003576,A013095,13.8,email_alias:13.8
A003610,A011246,19.52,email_alias:13.8|name:5.72
A003618,A004182,13.8,email_alias:13.8
A003618,A009340,13.8,email_alias:13.8
A003660,A006405,8.4,device:8.4
A003661,A006040,25.24,email_alias:13.8|name:11.44
A003663,A013103,13.8,email_alias:13.8
A003680,A004554,13.8,email_alias:13.8
A003718,A010726,13.8,email_alias:13.8
A003842,A009717,13.8,email_alias:13.8
A003863,A013750,16.47,device:8.4|addr:8.07
A003871,A004992,13.8,email_alias:13.8
A003871,A008904,13.8,email_alias:13.8
A003871,A012395,25.24,email_alias:13.8|name:11.44
A003892,A005685,13.8,email_alias:13.8
A003892,A014872,13.8,email_alias:13.8
A003951,A006602,25.24,email_alias:13.8|name:11.44
A003961,A011133,13.8,email_alias:13.8
A003996,A008628,13.8,email_alias:13.8
A003996,A012904,13.8,email_alias:13.8
A003996,A013789,13.8,email_alias:13.8
A004046,A004395,13.8,email_alias:13.8
A004133,A014923,13.8,email_alias:13.8
A004148,A009436,13.8,email_alias:13.8
A004182,A009340,13.8,email_alias:13.8
A004188,A005845,13.8,email_alias:13.8
A004188,A008078,13.8,email_alias:13.8
A004208,A004374,13.8,email_alias:13.8
A004208,A006649,13.8,email_alias:13.8
A004210,A009046,13.8,email_alias:13.8
A004296,A014276,16.47,device:8.4|addr:8.07
A004320,A005453,13.8,email_alias:13.8
A004336,A009781,9.84,card:1.78|addr:8.07
A004336,A014465,8.4,device:8.4
A004374,A006649,13.8,email_alias:13.8
A004392,A014126,13.8,email_alias:13.8
A004414,A013403,25.24,email_alias:13.8|name:11.44
A004434,A004662,16.47,device:8.4|addr:8.07
A004463,A010817,16.47,device:8.4|addr:8.07
A004515,A013384,13.8,email_alias:13.8
A004565,A005942,18.31,email_alias:13.8|phone:4.51
A004565,A009581,13.8,email_alias:13.8
A004565,A011735,18.31,email_alias:13.8|phone:4.51
A004565,A012501,18.31,email_alias:13.8|phone:4.51
A004565,A013095,13.8,email_alias:13.8
A004594,A006431,8.4,device:8.4
A004619,A012622,13.8,email_alias:13.8
A004625,A004631,13.8,email_alias:13.8
A004625,A012303,13.8,email_alias:13.8
A004631,A012303,13.8,email_alias:13.8
A004634,A008662,13.8,email_alias:13.8
A004634,A012937,13.8,email_alias:13.8
A004634,A014115,13.8,email_alias:13.8
A004694,A014866,19.52,email_alias:13.8|name:5.72
A004711,A007025,19.52,email_alias:13.8|name:5.72
A004721,A011595,13.8,email_alias:13.8
A004729,A006216,16.47,device:8.4|addr:8.07
A004762,A006604,16.09,email_alias:13.8|name:2.29
A004762,A009112,16.09,email_alias:13.8|name:2.29
A004773,A011206,13.8,email_alias:13.8
A004788,A007525,13.8,email_alias:13.8
A004788,A008445,13.8,email_alias:13.8
A004865,A008809,25.24,email_alias:13.8|name:11.44
A004905,A007068,16.47,device:8.4|addr:8.07
A004905,A012301,16.47,device:8.4|addr:8.07
A004926,A009349,13.8,email_alias:13.8
A004939,A010666,19.52,email_alias:13.8|name:5.72
A004974,A005815,13.8,email_alias:13.8
A004983,A011016,13.8,email_alias:13.8
A004992,A008904,13.8,email_alias:13.8
A004992,A012395,13.8,email_alias:13.8
A005050,A013494,16.47,device:8.4|addr:8.07
A005050,A014592,16.47,device:8.4|addr:8.07
A005097,A005316,25.24,email_alias:13.8|name:11.44
A005157,A012454,13.8,email_alias:13.8
A005192,A012810,13.8,email_alias:13.8
A005198,A014761,13.8,email_alias:13.8
A005255,A009382,13.8,email_alias:13.8
A005255,A010121,13.8,email_alias:13.8
A005265,A006264,13.8,email_alias:13.8
A005265,A013950,13.8,email_alias:13.8
A005309,A014335,16.47,device:8.4|addr:8.07
A005344,A006552,13.8,email_alias:13.8
A005344,A010057,13.8,email_alias:13.8
A005473,A008368,13.8,email_alias:13.8
A005505,A007860,25.24,email_alias:13.8|name:11.44
A005508,A012590,16.47,device:8.4|addr:8.07
A005519,A008264,13.8,email_alias:13.8
A005551,A008492,13.8,email_alias:13.8
A005607,A008779,25.24,email_alias:13.8|name:11.44
A005620,A007178,25.24,email_alias:13.8|name:11.44
A005671,A007539,13.8,email_alias:13.8
A005671,A011448,13.8,email_alias:13.8
A005685,A014872,13.8,email_alias:13.8
A005785,A009220,13.8,email_alias:13.8
A005785,A009354,13.8,email_alias:13.8
A005787,A014397,13.8,email_alias:13.8
A005795,A005943,13.8,email_alias:13.8
A005845,A008078,13.8,email_alias:13.8
A005864,A006925,13.8,email_alias:13.8
A005864,A008514,13.8,email_alias:13.8
A005942,A009581,13.8,email_alias:13.8
A005942,A011735,18.31,email_alias:13.8|phone:4.51
A005942,A012501,18.31,email_alias:13.8|phone:4.51
A005942,A013095,13.8,email_alias:13.8
A005971,A008497,13.8,email_alias:13.8
A005972,A009164,13.8,email_alias:13.8
A005972,A011747,13.8,email_alias:13.8
A006027,A014797,13.8,email_alias:13.8
A006048,A009564,13.8,email_alias:13.8
A006050,A009642,25.24,email_alias:13.8|name:11.44
A006057,A012471,16.47,device:8.4|addr:8.07
A006057,A012886,16.47,device:8.4|addr:8.07
A006059,A011433,13.8,email_alias:13.8
A006059,A011647,13.8,email_alias:13.8
A006212,A006757,16.47,device:8.4|addr:8.07
A006264,A013950,25.24,email_alias:13.8|name:11.44
A006275,A009294,13.8,email_alias:13.8
A006292,A006328,13.8,email_alias:13.8
A006292,A013858,13.8,email_alias:13.8
A006328,A013858,13.8,email_alias:13.8
A006336,A013059,25.24,email_alias:13.8|name:11.44
A006358,A010464,13.8,email_alias:13.8
A006457,A012063,16.47,device:8.4|addr:8.07
A006457,A012485,16.47,device:8.4|addr:8.07
A006552,A010057,13.8,email_alias:13.8
A006554,A007395,13.8,email_alias:13.8
A006554,A014739,13.8,email_alias:13.8
A006604,A009112,16.09,email_alias:13.8|name:2.29
A006605,A013860,16.47,device:8.4|addr:8.07
A006696,A009222,8.4,device:8.4
A006697,A012677,9.84,card:1.78|addr:8.07
A006697,A013373,10.18,card:1.78|device:8.4
A006722,A011068,25.24,email_alias:13.8|name:11.44
A006725,A007859,25.24,email_alias:13.8|name:11.44
A006785,A013806,13.8,email_alias:13.8
A006923,A013426,13.8,email_alias:13.8
A006925,A008514,13.8,email_alias:13.8
A006929,A010249,17.61,email_alias:13.8|name:3.81
A006929,A012415,17.61,email_alias:13.8|name:3.81
A006936,A014821,13.8,email_alias:13.8
A006948,A014321,25.24,email_alias:13.8|name:11.44
A007000,A013672,13.8,email_alias:13.8
A007000,A014965,13.8,email_alias:13.8
A007066,A014247,11.88,addr:8.07|name:3.81
A007068,A012301,16.47,device:8.4|addr:8.07
A007112,A008854,25.24,email_alias:13.8|name:11.44
A007165,A013696,13.8,email_alias:13.8
A007213,A010572,25.24,email_alias:13.8|name:11.44
A007217,A008215,13.8,email_alias:13.8
A007238,A014282,9.55,device:8.4|addr:1.15
A007238,A014616,8.4,device:8.4
A007264,A014027,13.8,email_alias:13.8
A007275,A014245,13.8,email_alias:13.8
A007288,A014988,8.4,device:8.4
A007395,A014739,13.8,email_alias:13.8
A007455,A012537,13.8,email_alias:13.8
A007455,A013899,13.8,email_alias:13.8
A007490,A010499,13.8,email_alias:13.8
A007525,A008445,13.8,email_alias:13.8
A007539,A011448,13.8,email_alias:13.8
A007559,A012836,16.47,device:8.4|addr:8.07
A007577,A012312,13.8,email_alias:13.8
A007585,A007784,13.8,email_alias:13.8
A007585,A008340,13.8,email_alias:13.8
A007585,A009291,13.8,email_alias:13.8
A007585,A011275,13.8,email_alias:13.8
A007585,A012022,13.8,email_alias:13.8
A007593,A008689,13.8,email_alias:13.8
A007657,A008480,13.8,email_alias:13.8
A007678,A009201,13.8,email_alias:13.8
A007707,A010665,13.8,email_alias:13.8
A007784,A008340,13.8,email_alias:13.8
A007784,A009291,13.8,email_alias:13.8
A007784,A011275,13.8,email_alias:13.8
A007784,A012022,13.8,email_alias:13.8
A007806,A013044,25.24,email_alias:13.8|name:11.44
A007863,A013787,13.8,email_alias:13.8
A007921,A008217,16.66,email_alias:13.8|name:2.86
A007931,A008759,13.8,email_alias:13.8
A007931,A013146,13.8,email_alias:13.8
A007999,A012270,25.24,email_alias:13.8|name:11.44
A008038,A009565,25.24,email_alias:13.8|name:11.44
A008045,A014581,16.47,device:8.4|addr:8.07
A008094,A011333,25.24,email_alias:13.8|name:11.44
A008209,A009144,13.8,email_alias:13.8
A008246,A012665,16.47,device:8.4|addr:8.07
A008246,A014609,8.4,device:8.4
A008315,A013488,13.8,email_alias:13.8
A008315,A014223,13.8,email_alias:13.8
A008340,A009291,13.8,email_alias:13.8
A008340,A011275,13.8,email_alias:13.8
A008340,A012022,13.8,email_alias:13.8
A008446,A014324,13.8,email_alias:13.8
A008591,A012618,13.8,email_alias:13.8
A008623,A010821,25.24,email_alias:13.8|name:11.44
A008628,A012904,13.8,email_alias:13.8
A008628,A013789,13.8,email_alias:13.8
A008662,A012937,13.8,email_alias:13.8
A008662,A014115,13.8,email_alias:13.8
A008679,A009320,13.8,email_alias:13.8
A008679,A011681,13.8,email_alias:13.8
A008759,A013146,13.8,email_alias:13.8
A008782,A009241,19.52,email_alias:13.8|name:5.72
A008782,A011957,13.8,email_alias:13.8
A008904,A012395,13.8,email_alias:13.8
A009101,A010968,13.8,email_alias:13.8
A009154,A011385,17.61,email_alias:13.8|name:3.81
A009164,A011747,13.8,email_alias:13.8
A009192,A013600,25.24,email_alias:13.8|name:11.44
A009220,A009354,13.8,email_alias:13.8
A009225,A013163,16.47,device:8.4|addr:8.07
A009241,A011957,13.8,email_alias:13.8
A009291,A011275,13.8,email_alias:13.8
A009291,A012022,13.8,email_alias:13.8
A009297,A009298,13.8,email_alias:13.8
A009320,A011681,13.8,email_alias:13.8
A009365,A014416,13.8,email_alias:13.8
A009382,A010121,13.8,email_alias:13.8
A009427,A013242,25.24,email_alias:13.8|name:11.44
A009523,A010923,8.4,device:8.4
A009523,A011652,16.47,device:8.4|addr:8.07
A009542,A010180,13.8,email_alias:13.8
A009581,A011735,13.8,email_alias:13.8
A009581,A012501,13.8,email_alias:13.8
A009581,A013095,13.8,email_alias:13.8
A009795,A014589,8.4,device:8.4
A009825,A013339,13.8,email_alias:13.8
A009844,A013359,13.8,email_alias:13.8
A009845,A011204,13.8,email_alias:13.8
A009996,A012781,13.8,email_alias:13.8
A010056,A013585,13.8,email_alias:13.8
A010249,A012415,17.61,email_alias:13.8|name:3.81
A010271,A014764,17.61,email_alias:13.8|name:3.81
A010426,A012174,13.8,email_alias:13.8
A010427,A012628,13.8,email_alias:13.8
A010703,A013757,13.8,email_alias:13.8
A010923,A011652,8.4,device:8.4
A011138,A012173,25.24,email_alias:13.8|name:11.44
A011275,A012022,13.8,email_alias:13.8
A011322,A014131,13.8,email_alias:13.8
A011417,A013703,13.8,email_alias:13.8
A011433,A011647,13.8,email_alias:13.8
A011534,A012917,13.8,email_alias:13.8
A011633,A014290,17.61,email_alias:13.8|name:3.81
A011735,A012501,18.31,email_alias:13.8|phone:4.51
A011735,A013095,13.8,email_alias:13.8
A011930,A013000,13.8,email_alias:13.8
A012009,A013560,13.8,email_alias:13.8
A012063,A012485,16.47,device:8.4|addr:8.07
A012439,A013621,25.24,email_alias:13.8|name:11.44
A012471,A012886,16.47,device:8.4|addr:8.07
A012501,A013095,13.8,email_alias:13.8
A012514,A012663,8.4,device:8.4
A012537,A013899,13.8,email_alias:13.8
A012664,A013905,13.8,email_alias:13.8
A012665,A014609,8.4,device:8.4
A012875,A014491,13.8,email_alias:13.8
A012904,A013789,17.61,email_alias:13.8|name:3.81
A012937,A014115,13.8,email_alias:13.8
A013079,A014695,25.24,email_alias:13.8|name:11.44
A013097,A014456,25.24,email_alias:13.8|name:11.44
A013488,A014223,13.8,email_alias:13.8
A013494,A014592,16.47,device:8.4|addr:8.07
A013672,A014965,13.8,email_alias:13.8
A014282,A014616,8.4,device:8.4
A014355,A014362,19.52,email_alias:13.8|name:5.72
A014939,A014970,13.8,email_alias:13.8
